x,name,bio
http://vocab.getty.edu/ulan/500069909,"Knowles, Alison","American mixed-media and performance artist, born 1933"
http://vocab.getty.edu/ulan/500070275,"Moses, Cherie","American photographer and performance artist, born 1949, active in Canada"
http://vocab.getty.edu/ulan/500070473,"Sharp, Willoughby","American artist and author, 1936-2008"
http://vocab.getty.edu/ulan/500070794,"Anderson, Laurie","American performance artist, sculptor, and writer, born 1947"
http://vocab.getty.edu/ulan/500070996,"Gray, Spalding","American performance artist and author, 1941-2004"
http://vocab.getty.edu/ulan/500071261,"Kazanjian, Milano","American painter and performance artist, born 1943"
http://vocab.getty.edu/ulan/500071913,"Zweig, Ellen","American filmmaker and performance artist, born 1947"
http://vocab.getty.edu/ulan/500072192,"Drummond, Andrew","New Zealand sculptor and performance artist, born 1951"
http://vocab.getty.edu/ulan/500072489,"Jahoda, Susan Eve","American installation artist, photographer, and performance artist, contemporary"
http://vocab.getty.edu/ulan/500072571,"McCafferty, Michael","American performance artist, active ca. 1976"
http://vocab.getty.edu/ulan/500072600,Marshalore,"British performance artist, born 1946, active in Canada"
http://vocab.getty.edu/ulan/500072704,"Jalapeeno, Jimmy","American painter and performance artist, born 1947"
http://vocab.getty.edu/ulan/500073057,"Hershman Leeson, Lynn","American sculptor, multimedia, and digital artist, born 1941"
http://vocab.getty.edu/ulan/500073486,"Cha, Theresa Hak Kyung","Korean performance artist and writer, 1951-1982, active in the United States"
http://vocab.getty.edu/ulan/500073515,"Hill, James R.","American performance artist, born 1945"
http://vocab.getty.edu/ulan/500073908,"Prina, Stephen","American painter, sculptor, and conceptual artist, born 1954"
http://vocab.getty.edu/ulan/500074221,"Varble, Stephen","American performance artist, born 1946"
http://vocab.getty.edu/ulan/500074329,"Allen, Jo Harvey","American performance artist, born 1942"
http://vocab.getty.edu/ulan/500074614,"Oleszko, Pat","American performance artist, born 1947"
http://vocab.getty.edu/ulan/500075011,"Schwarzkogler, Rudolf","Austrian performance artist, 1940-1969"
http://vocab.getty.edu/ulan/500075104,"Pape, Lygia","Brazilian artist, 1929-2004"
http://vocab.getty.edu/ulan/500075547,"Maciunas, George","American writer, performance artist, and composer, 1931-1978"
http://vocab.getty.edu/ulan/500076290,"Baumann, Jim","American conceptual artist, active mid-1970s"
http://vocab.getty.edu/ulan/500076417,"Moorman, Charlotte","American musician and performance artist, active 20th century"
http://vocab.getty.edu/ulan/500076691,"Hooker, Charlie","British performance artist, born 1953"
http://vocab.getty.edu/ulan/500077528,"Buchanan, Nancy","American video and performance artist, born 1946"
http://vocab.getty.edu/ulan/500078170,"Regenbogen, Halyna Mordowanec","Canadian sculptor and performance artist, born 1945"
http://vocab.getty.edu/ulan/500078562,"Daulton, Robert","American performance artist, active late 20th century"
http://vocab.getty.edu/ulan/500079625,"Falk, Gathie","Canadian performance artist, born 1928"
http://vocab.getty.edu/ulan/500080121,"Aguilar, José Roberto","Brazilian painter and printmaker, born 1941"
http://vocab.getty.edu/ulan/500081145,"Cointet, Guy de","French conceptual artist, 1934-1983, active in the US"
http://vocab.getty.edu/ulan/500081186,"Young, La Monte","American composer, musician, and performance artist, born 1935"
http://vocab.getty.edu/ulan/500081953,"Wojnarowicz, David","American painter, photographer, and collagist, 1954-1992"
http://vocab.getty.edu/ulan/500083057,"Richards, Timothy","American performance artist and sculptor, contemporary"
http://vocab.getty.edu/ulan/500083622,"Rosenthal, Rachel","American performance artist and sculptor, 1926-2015"
http://vocab.getty.edu/ulan/500084363,"Woodall, John","American performance artist, born 1940"
http://vocab.getty.edu/ulan/500084742,Hudson,"American gallerist, painter, and performance artist, 1950-2014"
http://vocab.getty.edu/ulan/500084949,"Dean, Laura","American performance artist, born 1945"
http://vocab.getty.edu/ulan/500085053,"Wendkos, Gina","American performance artist, contemporary"
http://vocab.getty.edu/ulan/500085128,"Labowitz, Leslie","American performance artist, born 1946"
http://vocab.getty.edu/ulan/500085600,"Williams, Emmett","American poet and performance artist, 1925-2007"
http://vocab.getty.edu/ulan/500085671,"Klauke, Jürgen","German photographer and performance artist, born 1943"
